Id;PublicationDate;Title;Name;NormalizedName;WebUrl
4753;2006-06-09;Abu Musab al-Zarqawi;Abu Musab al-Zarqawi;Abu Musab al-Zarqawi;https://www.independent.co.uk/news/obituaries/abu-musab-alzarqawi-481622.html
4754;2006-06-10;Sue Fear;Sue Fear;Sue Fear;https://www.independent.co.uk/news/obituaries/sue-fear-754411.html
4755;2006-06-10;Archbishop Anthony Li Duan;Archbishop Anthony Li Duan;Anthony Li Duan;https://www.independent.co.uk/news/obituaries/archbishop-anthony-li-duan-754409.html
4756;2006-06-12;Ray Cale;Ray Cale;Ray Cale;https://www.independent.co.uk/news/obituaries/ray-cale-482009.html
4757;2006-06-12;Professor Mark Perlman;Professor Mark Perlman;Mark Perlman;https://www.independent.co.uk/news/obituaries/professor-mark-perlman-6098451.html
4758;2006-06-13;Gyorgy Ligeti;Gyorgy Ligeti;Gyorgy Ligeti;https://www.independent.co.uk/news/obituaries/gyorgy-ligeti-6098338.html
4759;2006-06-15;Godfrey Argent;Godfrey Argent;Godfrey Argent;https://www.independent.co.uk/news/obituaries/godfrey-argent-6098127.html
4760;2006-06-16;Zoe Rae;Zoe Rae;Zoe Rae;https://www.independent.co.uk/news/obituaries/zoe-rae-6098102.html
4761;2006-06-24;Jimmy Allison;Jimmy Allison;Jimmy Allison;https://www.independent.co.uk/news/obituaries/jimmy-allison-8689003.html
4762;2006-06-24;Anthony Marreco;Anthony Marreco;Anthony Marreco;https://www.independent.co.uk/news/obituaries/anthony-marreco-8722255.html
4763;2006-06-27;Fr Matta El Meskeen;Fr Matta El Meskeen;Matta El Meskeen;https://www.independent.co.uk/news/obituaries/fr-matta-el-meskeen-6096971.html
4764;2006-06-27;Professor Leslie Alcock;Professor Leslie Alcock;Leslie Alcock;https://www.independent.co.uk/news/obituaries/professor-leslie-alcock-6096970.html
4765;2006-06-28;Sir Michael Weir;Sir Michael Weir;Michael Weir;https://www.independent.co.uk/news/obituaries/sir-michael-weir-6096871.html
4766;2006-06-29;Elkan Allan;Elkan Allan;Elkan Allan;https://www.independent.co.uk/news/obituaries/elkan-allan-8686882.html
4767;2006-06-30;Dr Ellis Samols;Dr Ellis Samols;Ellis Samols;https://www.independent.co.uk/news/obituaries/dr-ellis-samols-8596275.html
4768;2006-06-30;Lord Rawlinson of Ewell;Lord Rawlinson of Ewell;Lord Rawlinson of Ewell;https://www.independent.co.uk/news/obituaries/lord-rawlinson-of-ewell-6096723.html
4769;2006-07-01;Peter Bryant;Peter Bryant;Peter Bryant;https://www.independent.co.uk/news/obituaries/peter-bryant-6096617.html
4770;2006-07-03;Ross Tompkins;Ross Tompkins;Ross Tompkins;https://www.independent.co.uk/news/obituaries/ross-tompkins-406433.html
4771;2006-07-04;Tony Baggs;Tony Baggs;Tony Baggs;https://www.independent.co.uk/news/obituaries/tony-baggs-6096343.html
4772;2006-07-04;Eileen Barton;Eileen Barton;Eileen Barton;https://www.independent.co.uk/news/obituaries/eileen-barton-6096352.html
4773;2006-07-04;Jacques Lanzmann;Jacques Lanzmann;Jacques Lanzmann;https://www.independent.co.uk/news/obituaries/jacques-lanzmann-6096344.html
4774;2006-07-05;Ryutaro Hashimoto;Ryutaro Hashimoto;Ryutaro Hashimoto;https://www.independent.co.uk/news/obituaries/ryutaro-hashimoto-6096241.html
4775;2006-07-08;Alun Menai Williams;Alun Menai Williams;Alun Menai Williams;https://www.independent.co.uk/news/obituaries/alun-menai-williams-6096085.html
4776;2006-07-10;Henry Osmaston;Henry Osmaston;Henry Osmaston;https://www.independent.co.uk/news/obituaries/henry-osmaston-6095810.html
4777;2006-07-11;Shamil Basayev;Shamil Basayev;Shamil Basayev;https://www.independent.co.uk/news/obituaries/shamil-basayev-6095722.html
4778;2006-07-11;Rabbi Louis Jacobs;Rabbi Louis Jacobs;Louis Jacobs;https://www.independent.co.uk/news/obituaries/rabbi-louis-jacobs-6095723.html
4779;2006-07-13;Syd Barrett;Syd Barrett;Syd Barrett;https://www.independent.co.uk/news/obituaries/syd-barrett-6095531.html
4780;2006-07-13;John Spencer;John Spencer;John Spencer;https://www.independent.co.uk/news/obituaries/john-spencer-6095532.html
4781;2006-07-13;Milan B. Williams;Milan B. Williams;Milan B. Williams;https://www.independent.co.uk/news/obituaries/milan-b-williams-6095530.html
4782;2006-07-15;Peter Hawkins;Peter Hawkins;Peter Hawkins;https://www.independent.co.uk/news/obituaries/peter-hawkins-6095397.html
4783;2006-07-15;Professor Arthur Willis;Professor Arthur Willis;Arthur Willis;https://www.independent.co.uk/news/obituaries/professor-arthur-willis-6095398.html
4784;2006-07-17;Ruth Schonthal;Ruth Schonthal;Ruth Schonthal;https://www.independent.co.uk/news/obituaries/ruth-schonthal-408258.html
4785;2006-07-17;Catherine Leroy;Catherine Leroy;Catherine Leroy;https://www.independent.co.uk/news/obituaries/catherine-leroy-408257.html
4786;2006-07-18;Margaret Traherne;Margaret Traherne;Margaret Traherne;https://www.independent.co.uk/news/obituaries/margaret-traherne-6095040.html
4787;2006-07-19;Jimmy Leadbetter;Jimmy Leadbetter;Jimmy Leadbetter;https://www.independent.co.uk/news/obituaries/jimmy-leadbetter-408462.html
4788;2006-07-22;Gerard Oury;Gerard Oury;Gerard Oury;https://www.independent.co.uk/news/obituaries/gerard-oury-6094777.html
4789;2006-07-22;David McKnight;David McKnight;David McKnight;https://www.independent.co.uk/news/obituaries/david-mcknight-6094722.html
4790;2006-07-24;D.O. Misiani;D.O. Misiani;D.O. Misiani;https://www.independent.co.uk/news/obituaries/d-o-misiani-6094612.html
4791;2006-07-25;Wallace Potts;Wallace Potts;Wallace Potts;https://www.independent.co.uk/news/obituaries/wallace-potts-409179.html
4792;2006-07-26;Richard Symonds;Richard Symonds;Richard Symonds;https://www.independent.co.uk/news/obituaries/richard-symonds-409309.html
4793;2006-07-27;Martin Adler;Martin Adler;Martin Adler;https://www.independent.co.uk/news/obituaries/martin-adler-6232439.html
4794;2006-07-28;Bobby Paterson;Bobby Paterson;Bobby Paterson;https://www.independent.co.uk/news/obituaries/bobby-paterson-6232394.html
4795;2006-07-28;Sir James Menter;Sir James Menter;James Menter;https://www.independent.co.uk/news/obituaries/sir-james-menter-6232398.html
4796;2006-07-29;Dame Mildred Riddelsdell;Dame Mildred Riddelsdell;Mildred Riddelsdell;https://www.independent.co.uk/news/obituaries/dame-mildred-riddelsdell-6232336.html
4797;2006-07-31;Alexandre Safran;Alexandre Safran;Alexandre Safran;https://www.independent.co.uk/news/obituaries/alexandre-safran-410000.html
4798;2006-07-31;Professor Bruce Merrifield;Professor Bruce Merrifield;Bruce Merrifield;https://www.independent.co.uk/news/obituaries/professor-bruce-merrifield-409998.html
4799;2006-08-01;Cecily Mackworth;Cecily Mackworth;Cecily Mackworth;https://www.independent.co.uk/news/obituaries/cecily-mackworth-410094.html
