Id;PublicationDate;Title;Name;NormalizedName;WebUrl
1;1992-07-01;Obituary: The Marquess of Bath;The Marquess of Bath;The Marquess of Bath;https://www.independent.co.uk/news/people/obituary-the-marquess-of-bath-1530471.html
2;1992-07-02;Obituary: Howard Roberts;Howard Roberts;Howard Roberts;https://www.independent.co.uk/news/people/obituary-howard-roberts-1530653.html
3;1992-07-03;Obituary: Mikhail Tal;Mikhail Tal;Mikhail Tal;https://www.independent.co.uk/news/people/obituary-mikhail-tal-1530878.html
4;1992-07-03;Obituary: Daniel Moyano;Daniel Moyano;Daniel Moyano;https://www.independent.co.uk/news/people/obituary-daniel-moyano-1530880.html
5;1992-07-03;Obituary: Elizabeth Shaw;Elizabeth Shaw;Elizabeth Shaw;https://www.independent.co.uk/news/people/obituary-elizabeth-shaw-1530877.html
6;1992-07-03;Obituary: Professor Elie Kedourie;Professor Elie Kedourie;Elie Kedourie;https://www.independent.co.uk/news/people/obituary-professor-elie-kedourie-1530876.html
7;1992-07-04;Obituary: Mickey Hays;Mickey Hays;Mickey Hays;https://www.independent.co.uk/news/people/obituary-mickey-hays-1531168.html
8;1992-07-04;Obituary: Juris Podnieks;Juris Podnieks;Juris Podnieks;https://www.independent.co.uk/news/people/obituary-juris-podnieks-1531163.html
9;1992-07-04;Obituary: The Earl of Iveagh;The Earl of Iveagh;The Earl of Iveagh;https://www.independent.co.uk/news/people/obituary-the-earl-of-iveagh-1531165.html
10;1992-07-07;Obituary: Georgia Brown;Georgia Brown;Georgia Brown;https://www.independent.co.uk/news/people/obituary-georgia-brown-1531653.html
11;1992-07-07;Obituary: Camaron de la Isla;Camaron de la Isla;Camaron de la Isla;https://www.independent.co.uk/news/people/obituary-camaron-de-la-isla-1531654.html
12;1992-07-07;Obituary: Sir Richard Francis;Sir Richard Francis;Richard Francis;https://www.independent.co.uk/news/people/obituary-sir-richard-francis-1531656.html
13;1992-07-09;Obituary: John Spencer Churchill;John Spencer Churchill;John Spencer Churchill;https://www.independent.co.uk/news/people/obituary-john-spencer-churchill-1532076.html
14;1992-07-10;Obituary: Joe Newman;Joe Newman;Joe Newman;https://www.independent.co.uk/news/people/obituary-joe-newman-1532241.html
15;1992-07-10;Obituary: John Roberts;John Roberts;John Roberts;https://www.independent.co.uk/news/people/obituary-john-roberts-1532243.html
16;1992-07-10;Obituary: Patrick Hall;Patrick Hall;Patrick Hall;https://www.independent.co.uk/news/people/obituary-patrick-hall-1532242.html
17;1992-07-11;Obituary: Bryan Guinness;Bryan Guinness;Bryan Guinness;https://www.independent.co.uk/news/people/obituary-bryan-guinness-1532472.html
18;1992-07-11;Obituary: Rabbi Simha Bunem Alter;Rabbi Simha Bunem Alter;Simha Bunem Alter;https://www.independent.co.uk/news/people/obituary-rabbi-simha-bunem-alter-1532474.html
19;1992-07-11;Obituary: Professor David Abercrombie;Professor David Abercrombie;David Abercrombie;https://www.independent.co.uk/news/people/obituary-professor-david-abercrombie-1532471.html
20;1992-07-13;Obituary: Deng Yingchao;Deng Yingchao;Deng Yingchao;https://www.independent.co.uk/news/people/obituary-deng-yingchao-1533000.html
21;1992-07-13;Obituary: Peter Greenham;Peter Greenham;Peter Greenham;https://www.independent.co.uk/news/people/obituary-peter-greenham-1533001.html
22;1992-07-13;Obituary: Albert Pierrepoint;Albert Pierrepoint;Albert Pierrepoint;https://www.independent.co.uk/news/people/obituary-albert-pierrepoint-1532999.html
23;1992-07-14;Obituary: William Fagg;William Fagg;William Fagg;https://www.independent.co.uk/news/people/obituary-william-fagg-1533203.html
24;1992-07-14;Obituary: Hasegawa Machiko;Hasegawa Machiko;Hasegawa Machiko;https://www.independent.co.uk/news/people/obituary-hasegawa-machiko-1533204.html
25;1992-07-14;Obituary: Frederic Matys Thursz;Frederic Matys Thursz;Frederic Matys Thursz;https://www.independent.co.uk/news/people/obituary-frederic-matys-thursz-1533211.html
26;1992-07-15;Obituary: John Forrest;John Forrest;John Forrest;https://www.independent.co.uk/news/people/obituary-john-forrest-1533422.html
27;1992-07-15;Obituary: Anette Fischer;Anette Fischer;Anette Fischer;https://www.independent.co.uk/news/people/obituary-anette-fischer-1533423.html
28;1992-07-16;Obituary: Barbara Comyns;Barbara Comyns;Barbara Comyns;https://www.independent.co.uk/news/people/obituary-barbara-comyns-1533504.html
29;1992-07-16;Obituary: Dr Cicely Williams;Dr Cicely Williams;Cicely Williams;https://www.independent.co.uk/news/people/obituary-dr-cicely-williams-1533501.html
30;1992-07-16;Obituary: Masiofo Noue Tamasese;Masiofo Noue Tamasese;Masiofo Noue Tamasese;https://www.independent.co.uk/news/people/obituary-masiofo-noue-tamasese-1533503.html
31;1992-07-17;Obituary: Anthony Roth;Anthony Roth;Anthony Roth;https://www.independent.co.uk/news/people/obituary-anthony-roth-1533714.html
32;1992-07-17;Obituary: Professor Antoni Zygmund;Professor Antoni Zygmund;Antoni Zygmund;https://www.independent.co.uk/news/people/obituary-professor-antoni-zygmund-1533716.html
33;1992-07-18;Obituary: Lord Newton;Lord Newton;Lord Newton;https://www.independent.co.uk/news/people/obituary-lord-newton-1533835.html
34;1992-07-18;Obituary: Francis Perrin;Francis Perrin;Francis Perrin;https://www.independent.co.uk/news/people/obituary-francis-perrin-1533832.html
35;1992-07-20;Obituary: Allan Jones;Allan Jones;Allan Jones;https://www.independent.co.uk/news/people/obituary-allan-jones-1534414.html
36;1992-07-21;Obituary: Viktor Louis;Viktor Louis;Viktor Louis;https://www.independent.co.uk/news/people/obituary-viktor-louis-1534573.html
37;1992-07-21;Obituary: Paolo Borsellino;Paolo Borsellino;Paolo Borsellino;https://www.independent.co.uk/news/people/obituary-paolo-borsellino-1534572.html
38;1992-07-22;Obituary: Kanan Devi;Kanan Devi;Kanan Devi;https://www.independent.co.uk/news/people/obituary-kanan-devi-1534655.html
39;1992-07-22;Obituary: Professor E. Bright Wilson;Professor E. Bright Wilson;E. Bright Wilson;https://www.independent.co.uk/news/people/obituary-professor-e-bright-wilson-1534651.html
40;1992-07-23;Obituary: John Bratby;John Bratby;John Bratby;https://www.independent.co.uk/news/people/obituary-john-bratby-1534856.html
41;1992-07-23;Obituary: Hammer DeRoburt;Hammer DeRoburt;Hammer DeRoburt;https://www.independent.co.uk/news/people/obituary-hammer-deroburt-1534858.html
42;1992-07-23;Obituary: Nikolai Zadornov;Nikolai Zadornov;Nikolai Zadornov;https://www.independent.co.uk/news/people/obituary-nikolai-zadornov-1534857.html
43;1992-07-24;Obituary: Pierre Uri;Pierre Uri;Pierre Uri;https://www.independent.co.uk/news/people/obituary-pierre-uri-1535128.html
44;1992-07-24;Obituary: Naisa al-Assad;Naisa al-Assad;Naisa al-Assad;https://www.independent.co.uk/news/people/obituary-naisa-alassad-1535129.html
45;1992-07-24;Obituary: Suleiman Franjieh;Suleiman Franjieh;Suleiman Franjieh;https://www.independent.co.uk/news/people/obituary-suleiman-franjieh-1535126.html
46;1992-07-25;Obituary: Arletty;Arletty;Arletty;https://www.independent.co.uk/news/people/obituary-arletty-1535292.html
47;1992-07-25;Obituary: Johnny Letman;Johnny Letman;Johnny Letman;https://www.independent.co.uk/news/people/obituary-johnny-letman-1535296.html
48;1992-07-25;Obituary: Maxine Audley;Maxine Audley;Maxine Audley;https://www.independent.co.uk/news/people/obituary-maxine-audley-1535294.html
49;1992-07-25;Obituary: Robert Liddell;Robert Liddell;Robert Liddell;https://www.independent.co.uk/news/people/obituary-robert-liddell-1535295.html
50;1992-07-27;Obituary: Alexander McKee;Alexander McKee;Alexander McKee;https://www.independent.co.uk/news/people/obituary-alexander-mckee-1535878.html
51;1992-07-27;Obituary: Sir Karl Parker;Sir Karl Parker;Karl Parker;https://www.independent.co.uk/news/people/obituary-sir-karl-parker-1535879.html
52;1992-07-27;Obituary: Rosemary Sutcliff;Rosemary Sutcliff;Rosemary Sutcliff;https://www.independent.co.uk/news/people/obituary-rosemary-sutcliff-1535877.html
53;1992-07-28;Obituary: Mary Wells;Mary Wells;Mary Wells;https://www.independent.co.uk/news/people/obituary-mary-wells-1536013.html
54;1992-07-28;Obituary: Ian Proctor;Ian Proctor;Ian Proctor;https://www.independent.co.uk/news/people/obituary-ian-proctor-1536011.html
55;1992-07-28;Obituary: Major David Swannell;Major David Swannell;David Swannell;https://www.independent.co.uk/news/people/obituary-major-david-swannell-1536014.html
56;1992-07-29;Obituary: Lord Kearton;Lord Kearton;Lord Kearton;https://www.independent.co.uk/news/people/obituary-lord-kearton-1536222.html
57;1992-07-29;Obituary: Reginald Beck;Reginald Beck;Reginald Beck;https://www.independent.co.uk/news/people/obituary-reginald-beck-1536223.html
58;1992-07-30;Obituary: Janet Key;Janet Key;Janet Key;https://www.independent.co.uk/news/people/obituary-janet-key-1536465.html
59;1992-07-30;Obituary: Luc Estang;Luc Estang;Luc Estang;https://www.independent.co.uk/news/people/obituary-luc-estang-1536464.html
60;1992-07-31;Obituary: Professor William Mathias;Professor William Mathias;William Mathias;https://www.independent.co.uk/news/people/obituary-professor-william-mathias-1536526.html
61;1992-08-01;Obituary: Max Dupain;Max Dupain;Max Dupain;https://www.independent.co.uk/news/people/obituary-max-dupain-1537229.html
62;1992-08-01;Obituary: Lord Cheshire VC;Lord Cheshire VC;Lord Cheshire VC;https://www.independent.co.uk/news/people/obituary-lord-cheshire-vc-1537228.html
63;1992-08-03;Obituary: The Right Rev John Tinsley;The Right Rev John Tinsley;John Tinsley;https://www.independent.co.uk/news/people/obituary-the-right-rev-john-tinsley-1537856.html
64;1992-08-04;Obituary: Alexis Rassine;Alexis Rassine;Alexis Rassine;https://www.independent.co.uk/news/people/obituary-alexis-rassine-1537962.html
65;1992-08-05;Obituary: Bruce Conde;Bruce Conde;Bruce Conde;https://www.independent.co.uk/news/people/obituary-bruce-conde-1538240.html
66;1992-08-05;Obituary: Cardinal Frantisek Tomasek;Cardinal Frantisek Tomasek;Frantisek Tomasek;https://www.independent.co.uk/news/people/obituary-cardinal-frantisek-tomasek-1538238.html
67;1992-08-06;Obituary: Wang Hongwen;Wang Hongwen;Wang Hongwen;https://www.independent.co.uk/news/people/obituary-wang-hongwen-1538342.html
68;1992-08-06;Obituary: Sir Robert Muldoon;Sir Robert Muldoon;Robert Muldoon;https://www.independent.co.uk/news/people/obituary-sir-robert-muldoon-1538341.html
69;1992-08-06;Obituary: The Right Rev John Trillo;The Right Rev John Trillo;John Trillo;https://www.independent.co.uk/news/people/obituary-the-right-rev-john-trillo-1538343.html
70;1992-08-07;Obituary: Joe Shuster;Joe Shuster;Joe Shuster;https://www.independent.co.uk/news/people/obituary-joe-shuster-1538812.html
71;1992-08-07;Obituary: Alfred Drake;Alfred Drake;Alfred Drake;https://www.independent.co.uk/news/people/obituary-alfred-drake-1538814.html
72;1992-08-08;Obituary: Lilo Milchsack;Lilo Milchsack;Lilo Milchsack;https://www.independent.co.uk/news/people/obituary-lilo-milchsack-1539091.html
73;1992-08-08;Obituary: Professor Stephen J. Williams;Professor Stephen J. Williams;Stephen J. Williams;https://www.independent.co.uk/news/people/obituary-professor-stephen-j-williams-1539092.html
74;1992-08-10;Obituary: W. J. Weatherby;W. J. Weatherby;W. J. Weatherby;https://www.independent.co.uk/news/people/obituary-w-j-weatherby-1539529.html
75;1992-08-11;Obituary: Lord Devlin;Lord Devlin;Lord Devlin;https://www.independent.co.uk/news/people/obituary-lord-devlin-1539619.html
76;1992-08-12;Obituary: Rudolf Ising;Rudolf Ising;Rudolf Ising;https://www.independent.co.uk/news/people/obituary-rudolf-ising-1539785.html
77;1992-08-12;Obituary: Seicho Matsumoto;Seicho Matsumoto;Seicho Matsumoto;https://www.independent.co.uk/news/people/obituary-seicho-matsumoto-1539784.html
78;1992-08-13;Obituary: Serge Daney;Serge Daney;Serge Daney;https://www.independent.co.uk/news/people/obituary-serge-daney-1540096.html
79;1992-08-13;Obituary: Gertrude Bugler;Gertrude Bugler;Gertrude Bugler;https://www.independent.co.uk/news/people/obituary-gertrude-bugler-1540093.html
80;1992-08-14;Obituary: Patricia Rothermere;Patricia Rothermere;Patricia Rothermere;https://www.independent.co.uk/news/people/obituary-patricia-rothermere-1540283.html
81;1992-08-15;Obituary: Kenji Nakagami;Kenji Nakagami;Kenji Nakagami;https://www.independent.co.uk/news/people/obituary-kenji-nakagami-1540384.html
82;1992-08-15;Obituary: Sir Denning Pearson;Sir Denning Pearson;Denning Pearson;https://www.independent.co.uk/news/people/obituary-sir-denning-pearson-1540383.html
83;1992-08-15;Obituary: Professor Harry Hansen;Professor Harry Hansen;Harry Hansen;https://www.independent.co.uk/news/people/obituary-professor-harry-hansen-1540386.html
84;1992-08-17;Obituary: Baroness Phillips;Baroness Phillips;Baroness Phillips;https://www.independent.co.uk/news/people/obituary-baroness-phillips-1540854.html
85;1992-08-18;Obituary: Tommy Nutter;Tommy Nutter;Tommy Nutter;https://www.independent.co.uk/news/people/obituary-tommy-nutter-1541027.html
86;1992-08-18;Obituary: Shimon Agranat;Shimon Agranat;Shimon Agranat;https://www.independent.co.uk/news/people/obituary-shimon-agranat-1541030.html
87;1992-08-18;Obituary: Yasuharu Oyama;Yasuharu Oyama;Yasuharu Oyama;https://www.independent.co.uk/news/people/obituary-yasuharu-oyama-1541028.html
88;1992-08-18;Obituary: Michael Wheeler;Michael Wheeler;Michael Wheeler;https://www.independent.co.uk/news/people/obituary-michael-wheeler-1541031.html
89;1992-08-18;Obituary: Professor John Fennell;Professor John Fennell;John Fennell;https://www.independent.co.uk/news/people/obituary-professor-john-fennell-1541029.html
90;1992-08-19;Obituary: Garth Pettitt;Garth Pettitt;Garth Pettitt;https://www.independent.co.uk/news/people/obituary-garth-pettitt-1541236.html
91;1992-08-19;Obituary: Tony Williams;Tony Williams;Tony Williams;https://www.independent.co.uk/news/people/obituary-tony-williams-1541235.html
92;1992-08-19;Obituary: Giorgio Perlasca;Giorgio Perlasca;Giorgio Perlasca;https://www.independent.co.uk/news/people/obituary-giorgio-perlasca-1541233.html
93;1992-08-20;Obituary: Air Marshal Sir Edward Chilton;Air Marshal Sir Edward Chilton;Edward Chilton;https://www.independent.co.uk/news/people/obituary-air-marshal-sir-edward-chilton-1541463.html
94;1992-08-21;Obituary: Ephraim Katz;Ephraim Katz;Ephraim Katz;https://www.independent.co.uk/news/people/obituary-ephraim-katz-1541566.html
95;1992-08-21;Obituary: Viscount Muirshiel;Viscount Muirshiel;Viscount Muirshiel;https://www.independent.co.uk/news/people/obituary-viscount-muirshiel-1541565.html
96;1992-08-22;Obituary: Achyut Patwardhan;Achyut Patwardhan;Achyut Patwardhan;https://www.independent.co.uk/news/people/obituary-achyut-patwardhan-1541827.html
97;1992-08-24;Obituary: Don Lang;Don Lang;Don Lang;https://www.independent.co.uk/news/people/obituary-don-lang-1542139.html
98;1992-08-24;Obituary: John Sturges;John Sturges;John Sturges;https://www.independent.co.uk/news/people/obituary-john-sturges-1542138.html
99;1992-08-25;Obituary: Cecil Bacon;Cecil Bacon;Cecil Bacon;https://www.independent.co.uk/news/people/obituary-cecil-bacon-1542356.html
100;1992-08-25;Obituary: Arthur Davison;Arthur Davison;Arthur Davison;https://www.independent.co.uk/news/people/obituary-arthur-davison-1542352.html
101;1992-08-25;Obituary: Donald Stewart;Donald Stewart;Donald Stewart;https://www.independent.co.uk/news/people/obituary-donald-stewart-1542355.html
102;1992-08-25;Obituary: Fr Patrick Geary;Fr Patrick Geary;Patrick Geary;https://www.independent.co.uk/news/people/obituary-fr-patrick-geary-1542358.html
103;1992-08-25;Obituary: Niranjan Singh Gill;Niranjan Singh Gill;Niranjan Singh Gill;https://www.independent.co.uk/news/people/obituary-niranjan-singh-gill-1542353.html
104;1992-08-26;Obituary: Amjad Khan;Amjad Khan;Amjad Khan;https://www.independent.co.uk/news/people/obituary-amjad-khan-1542614.html
105;1992-08-28;Obituary: Esme Langley;Esme Langley;Esme Langley;https://www.independent.co.uk/news/people/obituary-esme-langley-1542936.html
106;1992-08-28;Obituary: Maurice Bouette;Maurice Bouette;Maurice Bouette;https://www.independent.co.uk/news/people/obituary-maurice-bouette-1542939.html
107;1992-08-28;Obituary: The Right Rev Anthony Tremlett;The Right Rev Anthony Tremlett;Anthony Tremlett;https://www.independent.co.uk/news/people/obituary-the-right-rev-anthony-tremlett-1542937.html
108;1992-08-31;Obituary: Edith Hilder;Edith Hilder;Edith Hilder;https://www.independent.co.uk/news/people/obituary-edith-hilder-1580530.html
109;1992-08-31;Obituary: Julia Porter;Julia Porter;Julia Porter;https://www.independent.co.uk/news/people/obituary-julia-porter-1580531.html
110;1992-08-31;Obituary: Kenneth Villiers;Kenneth Villiers;Kenneth Villiers;https://www.independent.co.uk/news/people/obituary-kenneth-villiers-1580529.html
111;1992-09-01;Obituary: John Prizeman;John Prizeman;John Prizeman;https://www.independent.co.uk/news/people/obituary-john-prizeman-1548643.html
112;1992-09-01;Obituary: Felix Guattari;Felix Guattari;Felix Guattari;https://www.independent.co.uk/news/people/obituary-felix-guattari-1548642.html
113;1992-09-01;Obituary: Professor Bedwyr Lewis Jones;Professor Bedwyr Lewis Jones;Bedwyr Lewis Jones;https://www.independent.co.uk/news/people/obituary-professor-bedwyr-lewis-jones-1548641.html
114;1992-09-02;Obituary: John Cage;John Cage;John Cage;https://www.independent.co.uk/news/people/obituary-john-cage-1548893.html
115;1992-09-02;Obituary: James Venus;James Venus;James Venus;https://www.independent.co.uk/news/people/obituary-james-venus-1548891.html
116;1992-09-03;Obituary: Derek Hurlock;Derek Hurlock;Derek Hurlock;https://www.independent.co.uk/news/people/obituary-derek-hurlock-1549104.html
117;1992-09-03;Obituary: Piotr Jaroszewicz;Piotr Jaroszewicz;Piotr Jaroszewicz;https://www.independent.co.uk/news/people/obituary-piotr-jaroszewicz-1549102.html
118;1992-09-04;Obituary: Mary Norton;Mary Norton;Mary Norton;https://www.independent.co.uk/news/people/obituary-mary-norton-1549307.html
119;1992-09-04;Obituary: Morris Carnovsky;Morris Carnovsky;Morris Carnovsky;https://www.independent.co.uk/news/people/obituary-morris-carnovsky-1549310.html
120;1992-09-05;Obituary: Johnnie Mortimer;Johnnie Mortimer;Johnnie Mortimer;https://www.independent.co.uk/news/people/obituary-johnnie-mortimer-1549424.html
121;1992-09-07;Obituary: Larrie Londin;Larrie Londin;Larrie Londin;https://www.independent.co.uk/news/people/obituary-larrie-londin-1549935.html
122;1992-09-08;Obituary: Cyril Bence;Cyril Bence;Cyril Bence;https://www.independent.co.uk/news/people/obituary-cyril-bence-1550065.html
123;1992-09-08;Obituary: Christopher Trace;Christopher Trace;Christopher Trace;https://www.independent.co.uk/news/people/obituary-christopher-trace-1550064.html
124;1992-09-09;Obituary: Professor Daniel Gorenstein;Professor Daniel Gorenstein;Daniel Gorenstein;https://www.independent.co.uk/news/people/obituary-professor-daniel-gorenstein-1550255.html
125;1992-09-10;Obituary: Peter Deriabin;Peter Deriabin;Peter Deriabin;https://www.independent.co.uk/news/people/obituary-peter-deriabin-1550532.html
126;1992-09-10;Obituary: Sir Edward Singleton;Sir Edward Singleton;Edward Singleton;https://www.independent.co.uk/news/people/obituary-sir-edward-singleton-1550531.html
127;1992-09-11;Obituary: Wing Commander Roger Maw;Wing Commander Roger Maw;Wing Roger Maw;https://www.independent.co.uk/news/people/obituary-wing-commander-roger-maw-1550739.html
128;1992-09-12;Obituary: Mervyn Johns;Mervyn Johns;Mervyn Johns;https://www.independent.co.uk/news/people/obituary-mervyn-johns-1550946.html
129;1992-09-12;Obituary: Brigadier Gerald Thubron;Brigadier Gerald Thubron;Gerald Thubron;https://www.independent.co.uk/news/people/obituary-brigadier-gerald-thubron-1550947.html
130;1992-09-12;Obituary: Professor Martin Harrison;Professor Martin Harrison;Martin Harrison;https://www.independent.co.uk/news/people/obituary-professor-martin-harrison-1550943.html
131;1992-09-14;Obituary: Fritz Leiber;Fritz Leiber;Fritz Leiber;https://www.independent.co.uk/news/people/obituary-fritz-leiber-1551326.html
132;1992-09-14;Obituary: Anthony Perkins;Anthony Perkins;Anthony Perkins;https://www.independent.co.uk/news/people/obituary-anthony-perkins-1551325.html
133;1992-09-14;Obituary: E. Q. Nicholson;E. Q. Nicholson;E. Q. Nicholson;https://www.independent.co.uk/news/people/obituary-e-q-nicholson-1551331.html
134;1992-09-15;Obituary: Professor Peter Corbett;Professor Peter Corbett;Peter Corbett;https://www.independent.co.uk/news/people/obituary-professor-peter-corbett-1551444.html
135;1992-09-16;Obituary: Sheikh Abubakar Mahmud Gumi;Sheikh Abubakar Mahmud Gumi;Sheikh Abubakar Mahmud Gumi;https://www.independent.co.uk/news/people/obituary-sheikh-abubakar-mahmud-gumi-1551628.html
136;1992-09-17;Obituary: Jim Nabbie;Jim Nabbie;Jim Nabbie;https://www.independent.co.uk/news/people/obituary-jim-nabbie-1551960.html
137;1992-09-17;Obituary: Pierre Sergent;Pierre Sergent;Pierre Sergent;https://www.independent.co.uk/news/people/obituary-pierre-sergent-1551963.html
138;1992-09-17;Obituary: Admiral Sir Guy Grantham;Admiral Sir Guy Grantham;Guy Grantham;https://www.independent.co.uk/news/people/obituary-admiral-sir-guy-grantham-1551959.html
139;1992-09-18;Obituary: Lou Jacobs;Lou Jacobs;Lou Jacobs;https://www.independent.co.uk/news/people/obituary-lou-jacobs-1552011.html
140;1992-09-18;Obituary: Jafar Kareem;Jafar Kareem;Jafar Kareem;https://www.independent.co.uk/news/people/obituary-jafar-kareem-1552012.html
141;1992-09-21;Obituary: Sir Geraint Evans;Sir Geraint Evans;Geraint Evans;https://www.independent.co.uk/news/people/obituary-sir-geraint-evans-1552725.html
142;1992-09-21;Obituary: Professor E. T. Nevin (CORRECTED);Professor E. T. Nevin;E. T. Nevin;https://www.independent.co.uk/news/people/obituary-professor-e-t-nevin-corrected-1552650.html
143;1992-09-23;Obituary: David Bathurst;David Bathurst;David Bathurst;https://www.independent.co.uk/news/people/obituary-david-bathurst-1553122.html
144;1992-09-23;Obituary: Maurice Burton;Maurice Burton;Maurice Burton;https://www.independent.co.uk/news/people/obituary-maurice-burton-1553125.html
145;1992-09-24;Obituary: Adel Rootstein;Adel Rootstein;Adel Rootstein;https://www.independent.co.uk/news/people/obituary-adel-rootstein-1553328.html
146;1992-09-24;Obituary: Rene de Villiers;Rene de Villiers;Rene de Villiers;https://www.independent.co.uk/news/people/obituary-rene-de-villiers-1553331.html
147;1992-09-25;Obituary: John Gordon;John Gordon;John Gordon;https://www.independent.co.uk/news/people/obituary-john-gordon-1553598.html
148;1992-09-25;Obituary: Joanna Field;Joanna Field;Joanna Field;https://www.independent.co.uk/news/people/obituary-joanna-field-1553596.html
149;1992-09-25;Obituary: Alexandros Kotzias;Alexandros Kotzias;Alexandros Kotzias;https://www.independent.co.uk/news/people/obituary-alexandros-kotzias-1553591.html
150;1992-09-25;Obituary: Sir Edward Nichols;Sir Edward Nichols;Edward Nichols;https://www.independent.co.uk/news/people/obituary-sir-edward-nichols-1553592.html
151;1992-09-25;Obituary: Professor Howard Tonge;Professor Howard Tonge;Howard Tonge;https://www.independent.co.uk/news/people/obituary-professor-howard-tonge-1553593.html
152;1992-09-25;Obituary: General James Alward Van Fleet;General James Alward Van Fleet;James Alward Van Fleet;https://www.independent.co.uk/news/people/obituary-general-james-alward-van-fleet-1553597.html
153;1992-09-26;Obituary: Henry Calvert;Henry Calvert;Henry Calvert;https://www.independent.co.uk/news/people/obituary-henry-calvert-1553702.html
154;1992-09-28;Obituary: Henry Darwin;Henry Darwin;Henry Darwin;https://www.independent.co.uk/news/people/obituary-henry-darwin-1554167.html
155;1992-09-28;Obituary: Ralph Manheim;Ralph Manheim;Ralph Manheim;https://www.independent.co.uk/news/people/obituary-ralph-manheim-1554162.html
156;1992-09-29;Obituary: Hu Qiaomu;Hu Qiaomu;Hu Qiaomu;https://www.independent.co.uk/news/people/obituary-hu-qiaomu-1554373.html
157;1992-09-29;Obituary: Jacques Pic;Jacques Pic;Jacques Pic;https://www.independent.co.uk/news/people/obituary-jacques-pic-1554375.html
158;1992-09-29;Obituary: Roderick Jones;Roderick Jones;Roderick Jones;https://www.independent.co.uk/news/people/obituary-roderick-jones-1554376.html
159;1992-09-30;Obituary: Col Fred Tilston VC;Col Fred Tilston VC;Fred Tilston VC;https://www.independent.co.uk/news/people/obituary-col-fred-tilston-vc-1554496.html
160;1992-09-30;Obituary: William Douglas-Home;William Douglas-Home;William Douglas-Home;https://www.independent.co.uk/news/people/obituary-william-douglashome-1554492.html
161;1992-10-01;Obituary: Professor William Atkinson;Professor William Atkinson;William Atkinson;https://www.independent.co.uk/news/people/obituary-professor-william-atkinson-1554730.html
162;1992-10-02;Obituary: Jerry Walsh;Jerry Walsh;Jerry Walsh;https://www.independent.co.uk/news/people/obituary-jerry-walsh-1554916.html
163;1992-10-02;Obituary: Jean Aurenche;Jean Aurenche;Jean Aurenche;https://www.independent.co.uk/news/people/obituary-jean-aurenche-1554914.html
164;1992-10-03;Obituary: Antony Terry;Antony Terry;Antony Terry;https://www.independent.co.uk/news/people/obituary-antony-terry-1555219.html
165;1992-10-03;Obituary: Gerald Hanley;Gerald Hanley;Gerald Hanley;https://www.independent.co.uk/news/people/obituary-gerald-hanley-1555218.html
166;1992-10-03;Obituary: Feodor Chaliapin Jr;Feodor Chaliapin Jr;Feodor Chaliapin Jr;https://www.independent.co.uk/news/people/obituary-feodor-chaliapin-jr-1555221.html
167;1992-10-05;Obituary: Sir Francis Watson;Sir Francis Watson;Francis Watson;https://www.independent.co.uk/news/people/obituary-sir-francis-watson-1555593.html
168;1992-10-05;Obituary: Judge Niall McCarthy;Judge Niall McCarthy;Judge Niall McCarthy;https://www.independent.co.uk/news/people/obituary-judge-niall-mccarthy-1555594.html
169;1992-10-06;Obituary: Dr Douglas Swinscow;Dr Douglas Swinscow;Douglas Swinscow;https://www.independent.co.uk/news/people/obituary-dr-douglas-swinscow-1555795.html
170;1992-10-07;Obituary: Denholm Elliott;Denholm Elliott;Denholm Elliott;https://www.independent.co.uk/news/people/obituary-denholm-elliott-1555931.html
171;1992-10-07;Obituary: Eddie Kendricks;Eddie Kendricks;Eddie Kendricks;https://www.independent.co.uk/news/people/obituary-eddie-kendricks-1555932.html
172;1992-10-09;Obituary: Baroness Ewart-Biggs;Baroness Ewart-Biggs;Baroness Ewart-Biggs;https://www.independent.co.uk/news/people/obituary-baroness-ewartbiggs-1556392.html
173;1992-10-10;Obituary: Willy Brandt;Willy Brandt;Willy Brandt;https://www.independent.co.uk/news/people/obituary-willy-brandt-1556598.html
174;1992-10-12;Obituary: Ed Blackwell;Ed Blackwell;Ed Blackwell;https://www.independent.co.uk/news/people/obituary-ed-blackwell-1556932.html
175;1992-10-12;Obituary: Johnny Carisi;Johnny Carisi;Johnny Carisi;https://www.independent.co.uk/news/people/obituary-johnny-carisi-1556934.html
176;1992-10-12;Obituary: Peter le Huray;Peter le Huray;Peter le Huray;https://www.independent.co.uk/news/people/obituary-peter-le-huray-1556933.html
177;1992-10-13;Obituary: Bill Rowe;Bill Rowe;Bill Rowe;https://www.independent.co.uk/news/people/obituary-bill-rowe-1557149.html
178;1992-10-13;Obituary: Lennie Peters;Lennie Peters;Lennie Peters;https://www.independent.co.uk/news/people/obituary-lennie-peters-1557150.html
179;1992-10-13;Obituary: Lord Hatch of Lusby;Lord Hatch of Lusby;Lord Hatch of Lusby;https://www.independent.co.uk/news/people/obituary-lord-hatch-of-lusby-1557148.html
180;1992-10-14;Obituary: Ben Maddow;Ben Maddow;Ben Maddow;https://www.independent.co.uk/news/people/obituary-ben-maddow-1557355.html
181;1992-10-14;Obituary: Johanna Breitenfeld;Johanna Breitenfeld;Johanna Breitenfeld;https://www.independent.co.uk/news/people/obituary-johanna-breitenfeld-1557356.html
